TIPO;AG;CTA;DG;INICIAL;FORMA;APERTURA;PLAZO;TIPO I;TASA;PUNTOS;MODALIDA;AMORTI;CUOTA;CUOTA CADA;ID PLAN;ID ESTADO;F VEN;F.U.PAGO;F.P.PAGO;F.PROR;F.VEN PRO;F.SALD;FIRMAS;SELL;PROTE;ID TIPO;NUMERO
1;1;11;3;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;12;4;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;18;0;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;19;1;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;21;4;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;22;5;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;26;9;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;27;0;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;28;1;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;40;5;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;44;9;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;51;7;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;52;8;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;59;5;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;64;1;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;72;0;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;91;1;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;93;3;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;94;4;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;95;5;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;123;7;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;125;9;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;128;2;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;129;3;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;131;6;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;133;8;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;136;1;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;141;7;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;147;3;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;156;3;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;157;4;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;169;7;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;177;6;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;178;7;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
1;1;179;8;0;1;2014/01/01;0;0;0;0;V;0;0;0;0;0;;;;;;;1;0;0;;
